State,Jurisdiction Name,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,% Yes,% No,Notes,Voted Acq. Measure
VA,Prince William County,County,11-03-1998,"Bond for Land Acquisition, Parks",Bond,,Parks,"$8,000,000","$781,996","$8,000,000","$781,996",yes,Pass,60.86482840912%,39.13517159088%,,yes
VA,Fairfax County,County,11-03-1998,"Parks and Parks Facilities, Bond for Parks, Recreation",Bond,,"parks, recreation","$87,000,000","$25,000,000","$87,000,000","$25,000,000",yes,Pass,70.958676377454%,29.041323622546%,,yes
WA,Mason County,County,11-03-1998,"Proposition No. 1, 0.25 of 1 Percent Real Estate Excise Tax Increase for Parks",Real estate transfer tax,,Parks,"$3,058,475","$764,619",,,no,Fail,46.206662134602%,53.793337865398%,,yes
WA,Snohomish County,County,11-03-1998,"Proposition No. 3, 10-years, $0.10 per $1,000 of Assessed Value Property Tax Increase for Parks, Recreation",Property tax,,"Recreation, parks","$40,000,000","$7,460,000",,,no,Fail,30.58389789067%,69.41610210933%,,yes
WA,Snohomish County,County,11-03-1998,"Proposition 4, 10-year, 0.41 Percent Real Estate Transfer Tax Increase for Conservation Areas, Open Space",Real estate transfer tax,,open space,"$130,000,000","$130,000,000",,,no,Fail,25.68607080096%,74.31392919904%,,yes
CT,Brookfield,Municipal,01-26-1999,Bond for the protection of Burr Farm,Bond,,"Open space, farmland, recreation","$1,231,000","$1,231,000","$1,231,000","$1,231,000",yes,Pass,89.10696761531%,10.89303238469%,Question 1,yes
CT,Brookfield,Municipal,01-26-1999,Bond for the purchase of Happy Landings Farm,Bond,,"Open space, farmland, recreation","$1,477,600","$1,477,600","$1,477,600","$1,477,600",yes,Pass,89.179841897233%,10.820158102767%,Question 2,yes
TX,Irving,Municipal,02-06-1999,"Proposition 3, Bond for parks, recreation",Bond,,"Parks, recreation","$36,800,000","$5,500,000","$36,800,000","$5,500,000",yes,Pass,73.287240729101%,26.712759270899%,,yes
CT,Old Saybrook,Municipal,02-10-1999,Bond for open space acquisition,Bond,,Open space,"$1,600,000","$1,600,000","$1,600,000","$1,600,000",yes,Pass,66.93613581245%,33.06386418755%,,yes
TX,Collin County,County,02-20-1999,"Proposition 4, Bond for open space, parks",Bond,,"Open space, parks","$5,725,000","$2,082,820","$5,725,000","$2,082,820",yes,Pass,75.214580904949%,24.785419095051%,,yes
TX,McKinney,Municipal,02-20-1999,"Proposition 5, Bond for parks, recreation",Bond,,"Parks, recreation","$4,825,000","$561,221","$4,825,000","$561,221",yes,Pass,81.818181818182%,18.181818181818%,,yes
IL,Libertyville,Municipal,02-23-1999,Bond for open space,Bond,,Open space,"$37,000,000","$37,000,000",,,no,Fail,45.937090432503%,54.062909567497%,Lake County,yes
FL,Palm Beach County,County,03-09-1999,Bond issue for agriculture and environmentally sensitive lands,Bond,,"Farmland, greenways, open space","$150,000,000","$150,000,000","$150,000,000","$150,000,000",yes,Pass,66.141332988635%,33.858667011365%,,yes
FL,Sarasota County,County,03-16-1999,"Question 1, .25 mill property tax increase for acquiring, managing environmentally sensitive lands",Property tax,,wildlife habitat,"$104,171,020","$93,753,920","$104,171,020","$93,753,920",yes,Pass,64.978370583994%,35.021629416006%,,yes
FL,Sarasota County,County,03-16-1999,"Question 2, Bond for acquiring, managing environmentally sensitive lands",Bond,,Wildlife habitat,,,,,yes,Pass,67.596397920948%,32.403602079052%,Bond authorization of $53M,yes
WI,Dane County,County,04-06-1999,"Bond for parks, wetlands, rivers, streams, forests, prairies, trails",Bond,,"Parks, forests, watershed protection, trails","$30,000,000","$30,000,000","$30,000,000","$30,000,000",yes,Pass,75.715768268115%,24.284231731885%,,yes
IL,Lake County Forest Preserve District,County,04-13-1999,"Lake County Forest Preserve District, Bond issue for forests, wildlife habitats, trails, greenways, wetlands, prairies, flood control, recreation, education, historic facilities",Bond,,"Forests, recreation, watershed protection, forests, trails, greenways, wildlife habitat","$55,000,000","$55,000,000","$55,000,000","$55,000,000",yes,Pass,65.80261931877%,34.19738068123%,,yes
IL,Kane County Forest Preserve District,County,04-13-1999,"Kane County Forest Preserve District, Bond for forests, wetlands, natural lands, wildlife habitat, water quality, flood control protection, trails, recreation, educational programs",Bond,,"Forests, open space, parks, recreation, watershed protection, trails, wildlife habitat","$70,000,000","$70,000,000","$70,000,000","$70,000,000",yes,Pass,65.71884559117%,34.28115440883%,,yes
IL,Homer Township,Municipal,04-13-1999,"Referendum, Bond for acquiring, maintaining open space",Bond,,Open space,"$8,000,000","$8,000,000","$8,000,000","$8,000,000",yes,Pass,65.390505359877%,34.609494640123%,Will County,yes
IL,Glen Ellyn Park District,Municipal,04-13-1999,Bond issue to purchase a specific property,Bond,,Open space,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",yes,Pass,,,DuPage County 56/44,yes
IL,Will County Forest Preserve District,County,04-13-1999,"Forest Preserve District of Will County Referendum, Bond for forests, wetlands, prairies, natural lands, wildlife habitats, flood control, education, trails, recreation",Bond,,"Forests, open space, recreation, watershed protection, trails, wildlife habitat","$70,000,000","$70,000,000","$70,000,000","$70,000,000",yes,Pass,57.043024332744%,42.956975667256%,,yes
PA,Plumstead Township,Municipal,05-01-1999,"7-year, .5 percent earned income tax for open space, farmland, easements, recreation, historic preservation",Income tax,,"Open space, farmland","$5,311,873","$5,136,873",,,no,Fail,47.513027001421%,52.486972998579%,Bucks Co,yes
TX,San Antonio,Municipal,05-01-1999,"Proposition 4, Bond for parks, recreation",Bond,,"parks, recreation","$24,200,000","$2,800,125","$24,200,000","$2,800,125",yes,Pass,75.966765368807%,24.033234631193%,,yes
OH,Columbus and Franklin County Metro Parks,County,05-04-1999,"Issue 15, 10-year, .65 mill property tax(replacement and increase) for specified parcels",Property tax,,"Forests, watershed protection","$125,000,000","$125,000,000","$125,000,000","$125,000,000",yes,Pass,58.960108559%,41.039891441%,,yes
NC,Asheville,Municipal,05-12-1999,"Question, Bond for open space, natural areas, greenways, easements, playgrounds, parks, recreation",Bond,,"Parks, greenways, open space, recreation","$18,000,000","$18,000,000",,,no,Fail,46.77703416696%,53.22296583304%,,yes
PA,East Rockhill Township,Municipal,05-18-1999,".125 percent earned income tax for open space, farmland, recreation, historic preservation, easements",Income tax,,"Open space, recreation, farmland","$1,106,000","$1,106,000","$1,106,000","$1,106,000",yes,Pass,61.179361179361%,38.820638820639%,Bucks Co,yes
ID,Blaine County,County,05-27-1999,"10-year, Bond for open space, wildlife habitat, recreation, scenic corridors, farmland, conservation easesments",Bond,,"Open space, recreation, wildlife habitat, greenways, farmland","$6,500,000","$6,500,000",,,no,Fail,49.878147847279%,50.121852152721%,,yes
TX,Allen,Municipal,06-12-1999,"Proposition 5, Bond for parks, recreation",Bond,,"Parks, recreation","$22,000,000","$22,000,000","$22,000,000","$22,000,000",yes,Pass,70.951993490643%,29.048006509357%,,yes
AZ,Phoenix,Municipal,09-07-1999,"Proposition 101, 10-year, .1 percent cent sales tax increase for open space, regional and neighborhood parks, recreation, public safety",Sales tax,,"Open space, parks, recreation","$256,000,000","$256,000,000","$256,000,000","$256,000,000",yes,Pass,79.613630909527%,20.386369090473%,,yes
AZ,Scottsdale,Municipal,09-11-1999,"Question 1, Bond for acquisition of specified parcel",Bond,,Open space,"$200,000,000","$200,000,000","$200,000,000","$200,000,000",yes,Pass,77.325229801645%,22.674770198355%,,yes
RI,Barrington,Municipal,09-28-1999,"Bond for open space, recreation",Bond,,"Open space, recreation","$1,000,000","$1,000,000","$1,000,000","$1,000,000",yes,Pass,81.39534883721%,18.60465116279%,,yes
AZ,Glendale,Municipal,11-02-1999,"Proposition 10, Bond for open space, trails",Bond,,"Open space, trails","$53,700,000","$53,700,000","$53,700,000","$53,700,000",yes,Pass,68.075859344133%,31.924140655867%,,yes
CA,San Carlos,Municipal,11-02-1999,"Measure G, 10-year, per parcel tax for parks",Other,Parcel tax,Parks,"$1,200,000",,"$1,200,000",,yes,Pass,76.24500181752%,23.75499818248%,,yes
CO,Adams County,County,11-02-1999,"7-year, 1/5 percent sales tax increase for open space, farmland, wildlife, watersheds, parks, recreation",Sales tax,,"Open space, parks, recreation, watershed protection, farmland","$38,500,000","$38,500,000","$38,500,000","$38,500,000",yes,Pass,59.765758091993%,40.234241908007%,,yes
CO,Pitkin County,County,11-02-1999,"Referendum 1A, 10-year, 2.5 mill property tax extension, 1.25 mill property tax increase, bond authorization for land acquisition, improvements for open space, trails",Property tax,,"Open space, trails","$56,000,000","$53,200,000","$56,000,000","$53,200,000",yes,Pass,68.83445945946%,31.16554054054%,,yes
CO,Summit County,County,11-02-1999,"Referred Measure 1A, 10-year, Property tax increase for open space, scenic views, historic sites, wildlife habitat, trails,",Property tax,,Open space,"$30,000,000","$30,000,000","$30,000,000","$30,000,000",yes,Pass,65.04985179197%,34.95014820803%,,yes
CO,Nederland,Municipal,11-02-1999,Allow use of excess tax revenues for open space preservation,Other,Budget allocation,open space,,,,,yes,Pass,71.065989847716%,28.934010152284%,,yes
CO,Nederland,Municipal,11-02-1999,Advisory measure to authorize acquisition of specified open space parcel,Other,Advisory measure,Open space,,,,,yes,Pass,61.111111111111%,38.888888888889%,,yes
CO,Larimer County,County,11-02-1999,"Initiated Issue 100, 15-year, .25 percent sales tax extension for acquiring, managing, improving open space, natural areas, wildlife habitat, parks, trails",Sales tax,,"Open space, parks, trails, wildlife habitat","$170,000,000","$54,000,000","$170,000,000","$54,000,000",yes,Pass,59.688051053825%,40.311948946175%,Citizen Initiative Petition,yes
CO,Lafayette,Municipal,11-02-1999,"Ballot Issue 2A, 5-year, .25 percent sales tax incrase for open space",Sales tax,,Open space,"$3,750,000","$3,750,000","$3,750,000","$3,750,000",yes,Pass,64.13199426112%,35.86800573888%,,yes
CO,Erie,Municipal,11-02-1999,"Ballot Issue 2A, .25 percent sales tax increase $5 million bond authorization for open space, trails",Sales tax,,"Open space, trails","$14,000,000","$14,000,000",,,no,Fail,49.76076555024%,50.23923444976%,,yes
CO,Clear Creek County,County,11-02-1999,"Referendum 1B, 1 mill property tax increase for open space",Property tax,,Open space,"$3,740,000","$2,805,000","$3,740,000","$2,805,000",yes,Pass,52.227288670642%,47.772711329358%,,yes
CO,Boulder County,County,11-02-1999,"County Issue 1A, 10-year, .25 percent sales tax extension for open space, trails",Sales tax,,"Open space, trails","$123,500,000","$123,500,000","$123,500,000","$123,500,000",yes,Pass,69.244391971665%,30.755608028335%,,yes
CO,Brighton,Municipal,11-02-1999,"Sales tax reallocation for open space, trails",Sales tax,,"Open space, trails","$23,526,880","$3,926,180","$23,526,880","$3,926,180",yes,Pass,65.828991725406%,34.171008274594%,,yes
CO,Clear Creek County,County,11-02-1999,"Referendum 1C, Bond for open space",Bond,,Open space,,,,,yes,Pass,50.72463768116%,49.27536231884%,Money approved through property tax increase,yes
CO,Frederick,Municipal,11-02-1999,"0.5% sales and use tax increase for purchase, limited development and maintenance of open space lands",Sales tax,,Open space,"$1,540,000","$1,540,000","$1,540,000","$1,540,000",yes,Pass,,,"Election results unavailable, but the measure did pass",yes
CT,Cheshire,Municipal,11-02-1999,"Question 2, Bond for recreation, open space, education",Bond,,"Open space, recreation","$500,000","$500,000","$500,000","$500,000",yes,Pass,64.910258521324%,35.089741478676%,New Haven County,yes
CT,Danbury,Municipal,11-02-1999,Portion of larger bond devoted to open space and recreation investments,Bond,,"Open space, recreation","$2,800,000","$2,800,000","$2,800,000","$2,800,000",yes,Pass,78.644986449864%,21.355013550136%,,yes
CT,Glastonbury,Municipal,11-02-1999,"Bond for open space, conservation easements",Bond,,Open space,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",yes,Pass,73.627556512379%,26.372443487621%,,yes
CT,Rocky Hill,Municipal,11-02-1999,"Question 2, Bond for open space, recreation",Bond,,"Open space, recreation","$1,000,000","$1,000,000","$1,000,000","$1,000,000",yes,Pass,64.993954050786%,35.006045949214%,,yes
DE,Newark,Municipal,11-02-1999,Bond for acquisition of specified parcel,Bond,,Open space,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",yes,Pass,73.517465475223%,26.482534524777%,,yes
FL,Miami Beach,Municipal,11-02-1999,"Bond for parks, public beaches",Bond,,"Parks, watershed protection","$24,830,000","$24,830,000","$24,830,000","$24,830,000",yes,Pass,56.942514213519%,43.057485786481%,,yes
ME,Maine,State,11-02-1999,"Question 7, Bond for open space, water access, recreation, wildlife habitat, farmland, easements",Bond,,"Open space, recreation, watershed protection, farmland, wildlife habitat","$50,000,000","$50,000,000","$50,000,000","$50,000,000",yes,Pass,68.656861506158%,31.343138493842%,,yes
MI,Ann Arbor,Municipal,11-02-1999,"Ann Arbor City Charter Amendment, 5-year, .5 mill property tax increase for parks",Property tax,,Parks,"$7,600,535","$7,600,535","$7,600,535","$7,600,535",yes,Pass,64.835059455313%,35.164940544687%,,yes
MN,Savage,Municipal,11-02-1999,Bond for recreational purposes,Bond,,Recreation,"$5,000,000","$1,000,000","$5,000,000","$1,000,000",yes,Pass,51.084598698482%,48.915401301518%,,yes
NC,Mecklenburg County,County,11-02-1999,"Land Purchase Bonds, Bond for open space, schools, other county purposes",Bond,,Open space,"$220,000,000","$106,000,000","$220,000,000","$106,000,000",yes,Pass,60.625043159151%,39.374956840849%,,yes
NC,Mecklenburg County,County,11-02-1999,"Parks and Recreation Facilities Bond, Bond for parks, recreation",Bond,,"Parks, recreation","$52,000,000","$16,000,000","$52,000,000","$16,000,000",yes,Pass,69.448320591183%,30.551679408817%,,yes
NJ,Franklin Township,Municipal,11-02-1999,".01 cent per $100 property tax increase for open space, farmland",Property tax,,"Open space, farmland","$1,251,720","$1,251,720","$1,251,720","$1,251,720",yes,Pass,64.367460562945%,35.632539437055%,Gloucester County,yes
NJ,Frelinghuysen Township,Municipal,11-02-1999,"Township Question, .01 per $100 property tax increase for farmland, easements",Property tax,,Farmland,"$310,040","$310,040","$310,040","$310,040",yes,Pass,65.902578796562%,34.097421203438%,Warren Co,yes
NJ,Green Brook Township,Municipal,11-02-1999,"10 year, .015 cent per $100 property tax increase for open space, historic preservation, recreation",Property tax,,"Open space, recreation","$850,070","$850,070","$850,070","$850,070",yes,Pass,53.049907578558%,46.950092421442%,Somerset Co,yes
NJ,Hanover Township,Municipal,11-02-1999,"5-year, .02 cent per $100 property tax increase for open space, parks",Property tax,,"Open space, parks","$1,983,500","$1,983,500","$1,983,500","$1,983,500",yes,Pass,63.514902363823%,36.485097636177%,Morris Co,yes
NJ,Hopatcong Borough,Municipal,11-02-1999,"5-year, .01 cent per $100 property tax increase for open space, recreation",Property tax,,"Open space, recreation","$430,000","$430,000","$430,000","$430,000",yes,Pass,51.257373486495%,48.742626513505%,Sussex Co,yes
NJ,Howell Township,Municipal,11-02-1999,"Public Question, 1 cent per $100 property tax increase for open space, farmland",Property tax,,"Open space, farmland","$5,092,000","$5,092,000","$5,092,000","$5,092,000",yes,Pass,80.303317535545%,19.696682464455%,Monmouth Co,yes
